disks,raid,strip-size,read-policy,write-policy,io-policy,swap-size,disk-size,memory-size,num-cpus,scheduler,block-size,ext4-stride,ext4-stripe-width,ext4-journal-mode,ext4-barrier,ext4-atime,ext4-diratime,ext4-64-bit,ext4-dir-index,ext4-dir-nlink,ext4-extent,ext4-extra-isize,ext4-ext-attr,ext4-filetype,ext4-flex-bg,ext4-flex-bg-num-groups,ext4-huge-file,ext4-sparse-super2,ext4-mmp,ext4-resize-inode,ext4-sparse-super,ext4-uninit-bg,ext4-inode-size,ext4-inode-ratio,ext4-num-backup-sb,ext4-packed-meta-blocks,ext4-acl,ext4-inode-allocator,ext4-user-xattr,ext4-journal-commit-interval,ext4-journal-checksum-async-commit,ext4-delalloc,ext4-max-batch-time,ext4-min-batch-time,ext4-journal-ioprio,ext4-auto-da-alloc,ext4-discard,ext4-dioread-lock,ext4-i-version,kernel-vm-dirty-ratio,kernel-vm-dirty-background-ratio,kernel-vm-swappiness,kernel-read-ahead,kernel-fs-read-ahead,kernel-dev-ncq,ext4-bh,kernel-vm-vfs-cache-pressure,kernel-vm-dirty-expire-centisecs,kernel-vm-dirty-writeback-centisecs,kernel-vm-extfrag-threshold,kernel-vm-hugepages-treas-as-movable,kernel-vm-laptop-mode,kernel-vm-overcommit-memory,kernel-vm-overcommit-ratio,kernel-vm-percpu-pagelist-fraction,kernel-vm-zone-reclaim-mode
3,raid6,64,ahead,write-back,direct,64,64,8192,4,noop,1024,8,64,journal_data,barrier,noatime,diratime,64bit,no_dir_index,no_dir_nlink,extent,no_extra_isize,no_ext_attr,no_filetype,no_flex_bg,4,huge_file,sparse_super2,mmp,resize_inode,sparse_super,no_uninit_bg,128,4194304,1,no_packed_meta_blocks,acl,orlov,nouser_xattr,10,no_journal_checksum,nodelalloc,0,7500,6,noauto_da_alloc,nodiscard,dioread_lock,noi_version,4,10,10,8192,131072,2,nobh,333,30000,10000,400,0,33,0,128,32,7
5,raid5,1024,normal,write-thru,direct,128,128,2048,8,deadline,4096,512,512,journal_data,barrier,strictatime,nodiratime,64bit,no_dir_index,dir_nlink,extent,no_extra_isize,no_ext_attr,no_filetype,no_flex_bg,128,no_huge_file,no_sparse_super2,mmp,resize_inode,sparse_super,no_uninit_bg,256,4194304,0,no_packed_meta_blocks,acl,unspecified,user_xattr,20,no_journal_checksum,delalloc,120000,15000,7,noauto_da_alloc,nodiscard,dioread_nolock,noi_version,30,7,3,512,65536,12,bh,33,300,30,800,0,3,2,64,128,7
4,raid00,256,ahead,write-back,direct,2,256,8192,8,cfq,1024,128,256,journal_data_ordered,barrier,strictatime,diratime,no_64bit,dir_index,no_dir_nlink,no_extent,extra_isize,no_ext_attr,filetype,flex_bg,16,huge_file,no_sparse_super2,mmp,no_resize_inode,no_sparse_super,no_uninit_bg,1024,1048576,0,packed_meta_blocks,acl,oldalloc,user_xattr,1,journal_checksum,delalloc,1000,1900,3,auto_da_alloc,discard,dioread_lock,noi_version,1,1,90,131072,32768,24,nobh,1000,3000,125,600,1,1,1,64,32,7
4,raid10,256,ahead,write-thru,direct,4,512,3072,3,cfq,2048,32,128,journal_data_writeback,no_barrier,noatime,nodiratime,64bit,no_dir_index,no_dir_nlink,extent,extra_isize,ext_attr,no_filetype,no_flex_bg,2,huge_file,no_sparse_super2,mmp,resize_inode,sparse_super,no_uninit_bg,512,65536,2,no_packed_meta_blocks,acl,oldalloc,user_xattr,2,journal_checksum,nodelalloc,3800,15000,7,noauto_da_alloc,discard,dioread_lock,noi_version,15,10,10,512,0,8,nobh,10,100000,4000,700,1,0,1,32,0,7
1,raid0,64,normal,write-back,cached,0,32,4096,6,noop,4096,1024,1024,journal_data,no_barrier,strictatime,nodiratime,64bit,no_dir_index,dir_nlink,extent,extra_isize,ext_attr,filetype,no_flex_bg,512,huge_file,no_sparse_super2,mmp,no_resize_inode,no_sparse_super,no_uninit_bg,4096,65536,0,no_packed_meta_blocks,noacl,orlov,user_xattr,3,no_journal_checksum,delalloc,1900,1000,3,noauto_da_alloc,discard,dioread_nolock,noi_version,2,2,99,0,8,1,nobh,1,30000,100000,-1,0,1000,0,32,128,7
7,raid5,128,ahead,write-thru,direct,.5,2048,1024,2,noop,2048,256,256,journal_data,barrier,relatime,diratime,64bit,no_dir_index,dir_nlink,extent,no_extra_isize,ext_attr,no_filetype,flex_bg,8,no_huge_file,sparse_super2,no_mmp,no_resize_inode,no_sparse_super,uninit_bg,128,1048576,1,packed_meta_blocks,acl,unspecified,nouser_xattr,10,no_journal_checksum,nodelalloc,15000,30000,1,auto_da_alloc,discard,dioread_lock,i_version,3,2,1,128,8192,20,bh,100,1000,1000,200,0,33,0,128,16,6
8,raid5,128,ahead,write-thru,direct,8,3072,1024,6,deadline,1024,1,16,journal_data_ordered,no_barrier,relatime,diratime,64bit,dir_index,dir_nlink,extent,no_extra_isize,ext_attr,filetype,flex_bg,64,huge_file,no_sparse_super2,no_mmp,resize_inode,sparse_super,uninit_bg,1024,1048576,2,no_packed_meta_blocks,noacl,unspecified,user_xattr,5,journal_async_commit,delalloc,240000,60000,7,noauto_da_alloc,discard,dioread_lock,noi_version,4,5,30,512,512,24,nobh,33,30000,30000,900,1,100,2,32,0,5
5,raid6,512,ahead,write-back,direct,32,1024,4096,5,noop,1024,64,64,journal_data_writeback,no_barrier,relatime,nodiratime,64bit,dir_index,dir_nlink,extent,no_extra_isize,no_ext_attr,filetype,flex_bg,128,no_huge_file,sparse_super2,mmp,no_resize_inode,sparse_super,no_uninit_bg,256,1048576,1,packed_meta_blocks,acl,orlov,user_xattr,40,journal_async_commit,nodelalloc,30000,240000,0,auto_da_alloc,nodiscard,dioread_lock,i_version,10,4,95,24,0,28,nobh,1000,30000,125,500,1,0,0,32,8,4
2,raid1,256,normal,write-back,direct,128,8,16384,5,deadline,4096,8,32,journal_data,no_barrier,strictatime,nodiratime,no_64bit,dir_index,dir_nlink,extent,no_extra_isize,no_ext_attr,no_filetype,flex_bg,4,huge_file,no_sparse_super2,no_mmp,no_resize_inode,no_sparse_super,uninit_bg,4096,16384,0,packed_meta_blocks,acl,oldalloc,user_xattr,40,journal_async_commit,delalloc,7500,1000,0,auto_da_alloc,discard,dioread_nolock,noi_version,7,3,80,8,24,4,bh,100,3000,10000,700,1,3,1,64,16,0
2,raid00,512,ahead,write-back,cached,16,512,8192,4,cfq,2048,1024,1024,journal_data,no_barrier,relatime,diratime,no_64bit,no_dir_index,dir_nlink,extent,no_extra_isize,no_ext_attr,no_filetype,flex_bg,2,huge_file,no_sparse_super2,no_mmp,no_resize_inode,no_sparse_super,no_uninit_bg,128,16777216,2,no_packed_meta_blocks,noacl,oldalloc,nouser_xattr,80,no_journal_checksum,delalloc,60000,3800,2,auto_da_alloc,discard,dioread_lock,noi_version,20,15,0,2048,2048,8,bh,3,100,30,300,1,333,2,64,64,6
